marker_name,marker_id,marker_mean,marker_std
EOMES,20,0.012786555365679,0.008608410370148
FOXP3,28,0.014452395933506,0.038268101524066
GATA3,30,0.002412470519,0.003730364419759
Histone H3 k27me3,38,0.031952259692268,0.05613364425787
Histone H3,42,0.017520201258267,0.032944307155653
Ki67,46,0.029531676251173,0.076518686083291
p53,50,0.067346928386254,0.095529416712135
Histone H3 - p,56,0.001842406432527,0.012970135841461
pRB,64,0.005817520766427,0.024704567058472
TBET,68,0.021788786479292,0.04602853272218
TCF1,70,0.013290525425327,0.024801965881489
TOX,72,0.027803651143814,0.043746344089246
PTEN,98,0.010576106797954,0.027617329607883
SMA,130,0.029575119358045,0.041247284271777
ATP5A,140,0.048486441341245,0.080078225655559
beta-Catenin,142,0.032558367982265,0.059072501692797
B2M,146,0.033170962442073,0.05289225311551
Bcl2,150,0.047103710092785,0.060276430630856
CD303,152,0.008285348891197,0.005956689126225
C1Qa,154,0.01869068310032,0.045164973605802
CA2,160,0.018467209792378,0.082652891871003
CCR4,164,0.031724510575308,0.041872482101634
CCR6,166,0.044867218527772,0.042833273269029
CD10,170,0.01709826758832,0.028232257785233
CD103,172,0.036234831133347,0.055067513227967
vWF,174,0.02251935792398,0.021513883072498
CD11b,180,0.032169304434054,0.052365631918842
CD11c,182,0.01903850880955,0.044335894320743
CD134,188,0.007104985963329,0.012113393277056
CD14,192,0.044542437117002,0.058956506964904
CD15,194,0.016322029023369,0.040415845467354
CD16,196,0.041869441697734,0.05562602617936
CD163,200,0.014383895345818,0.033087414829243
CD19,204,0.040921441344039,0.048541083495269
CD20,214,0.045191582014717,0.057727228810945
CD206,216,0.014007699716253,0.044500654190149
CD27,226,0.006770155617963,0.009144941931484
CD3,232,0.031814082623739,0.066669983148534
CD31,236,0.007017607869554,0.02648811200201
CD34,238,0.021099896436083,0.037606113328878
CD36,242,0.008197827878786,0.026479495392782
CD38,244,0.01850829448005,0.02816937921348
CD39,246,0.01290456757741,0.01268335517275
CD4,248,0.01761953227456,0.043488669824453
CD40,250,0.009831080447236,0.011311274523303
CD44,254,0.025729573393176,0.062900187886423
CD45,256,0.064861690088598,0.112587988039793
CD45RA,258,0.046234915013981,0.070005033855438
CD45RO,260,0.029776678198784,0.074940388336497
CD54,270,0.03414165692666,0.039938980054367
CD56,272,0.027448837096015,0.049417103336954
CD57,274,0.005938027181212,0.029239079931071
CD66b,280,0.001668414613027,0.001106509512168
CD68,282,0.013592969621604,0.033643945961906
CD69,284,0.029539718769904,0.045456293974283
CD7,286,0.056185083102036,0.082215625152897
CD8a,294,0.050695170350049,0.08463300028839
c-Caspase3c-PARP,306,0.020892336383145,0.056341958562301
Collagen Type I,312,0.023569528752688,0.069731338647284
CTLA-4,316,0.105298157571748,0.08078880622278
CXCL13,318,0.02379456311931,0.024080213104141
CXCR5,320,0.021110895389128,0.037179033200058
panCK,322,0.017069960621747,0.040264074319819
DCSIGN,324,0.037775364009177,0.046686554910698
EGFR,330,0.067375439822311,0.074557186908699
EPCAM,332,0.034519957267589,0.057902339766732
Fibrinogen,338,0.013185435190958,0.029322744539351
Fibronectin,340,0.058335811944165,0.041199988104835
GITR,350,0.003825420900769,0.003023180398607
GLUT1,352,0.052365527481559,0.100218931793892
CD235ab,354,0.002117565516497,0.009201463809204
GrzB,360,0.021287770308232,0.036291930176591
HER2 (3B5),364,0.002635053845242,0.002679981377219
HLA-ABC,366,0.036942308017264,0.059591584018587
HLADR,370,0.056301066889624,0.094876476796703
IBA1,382,0.005135236388682,0.026786496765759
ICOS,386,0.011465175140698,0.020430644281534
Ido1,390,0.048157948134669,0.067392963538096
LAG3,410,0.034682313925735,0.056880836131372
LYVE1,424,0.006658073493285,0.020380966688625
MMP9,432,0.100761905165231,0.103386222840675
MPO,434,0.031078262670304,0.071730479507254
NaK-ATPase,442,0.04358125382372,0.068619760826209
