dataset,feature,fold,cv_accuracy,cv_macro_f1,cv_auc,n_train,n_val
danenberg,PAM50,0,0.5147058823529411,0.4640639138209778,0.7296610793264271,611,68
danenberg,PAM50,1,0.5588235294117647,0.39534632034632033,0.7087392655080613,611,68
danenberg,PAM50,2,0.5735294117647058,0.49326820839978736,0.766306743943827,611,68
danenberg,PAM50,3,0.6470588235294118,0.5557968828557064,0.8355204722957572,611,68
danenberg,PAM50,4,0.5441176470588235,0.48935388845247446,0.7769247717874419,611,68
danenberg,PAM50,5,0.5,0.40854136776661887,0.7650927046618905,611,68
danenberg,PAM50,6,0.5588235294117647,0.40569050832208725,0.6945024649873914,611,68
danenberg,PAM50,7,0.5147058823529411,0.43616935483870967,0.8024839945026108,611,68
danenberg,PAM50,8,0.5441176470588235,0.43508935508935503,0.7818533091777902,611,68
danenberg,PAM50,9,0.5074626865671642,0.39045995209678075,0.745596552889871,612,67
danenberg,ERStatus,0,0.8311688311688312,0.7374770521898768,0.857843137254902,686,77
danenberg,ERStatus,1,0.8311688311688312,0.6896124031007752,0.9156862745098039,686,77
danenberg,ERStatus,2,0.7922077922077922,0.6298076923076923,0.7725490196078432,686,77
danenberg,ERStatus,3,0.8421052631578947,0.7373271889400921,0.9333333333333332,687,76
danenberg,ERStatus,4,0.868421052631579,0.768009768009768,0.9229166666666667,687,76
danenberg,ERStatus,5,0.868421052631579,0.8020833333333333,0.9104166666666667,687,76
danenberg,ERStatus,6,0.9342105263157895,0.8986936816848841,0.9895833333333333,687,76
danenberg,ERStatus,7,0.9473684210526315,0.9124423963133641,0.9822916666666667,687,76
danenberg,ERStatus,8,0.9210526315789473,0.868663594470046,0.928125,687,76
danenberg,ERStatus,9,0.881578947368421,0.8176486270327913,0.9272183449651047,687,76
danenberg,ERBB2_pos,0,0.8970588235294118,0.6538181818181819,0.8665105386416863,611,68
danenberg,ERBB2_pos,1,0.9705882352941176,0.9203747072599531,0.9958333333333332,611,68
danenberg,ERBB2_pos,2,0.9411764705882353,0.8172043010752688,0.9229166666666667,611,68
danenberg,ERBB2_pos,3,0.9117647058823529,0.7258064516129032,0.8624999999999999,611,68
danenberg,ERBB2_pos,4,0.9705882352941176,0.9291666666666667,0.9812500000000001,611,68
danenberg,ERBB2_pos,5,0.9705882352941176,0.9203747072599531,0.9375,611,68
danenberg,ERBB2_pos,6,0.9264705882352942,0.7527272727272727,0.7875000000000001,611,68
danenberg,ERBB2_pos,7,0.9264705882352942,0.7527272727272727,0.9562499999999999,611,68
danenberg,ERBB2_pos,8,0.9705882352941176,0.9291666666666667,0.9354166666666667,611,68
danenberg,ERBB2_pos,9,1.0,1.0,1.0,612,67
danenberg,Grade,0,0.6753246753246753,0.46866832409001086,0.8123096857790735,688,77
danenberg,Grade,1,0.6493506493506493,0.4425933100865298,0.7455458373825721,688,77
danenberg,Grade,2,0.7272727272727273,0.5811578673939867,0.7998056365403304,688,77
danenberg,Grade,3,0.6233766233766234,0.4165671047391477,0.6732264334305151,688,77
danenberg,Grade,4,0.7272727272727273,0.5773726273726273,0.8464528668610302,688,77
danenberg,Grade,5,0.6973684210526315,0.47509578544061304,0.7726679669747009,689,76
danenberg,Grade,6,0.7105263157894737,0.49254115226337447,0.7457619005537882,689,76
danenberg,Grade,7,0.6710526315789473,0.4518518518518519,0.8296548893309336,689,76
danenberg,Grade,8,0.6710526315789473,0.4588235294117647,0.7837581087185276,689,76
danenberg,Grade,9,0.6447368421052632,0.5018518518518519,0.7950821230263442,689,76
cords,DX.name,0,0.8412698412698413,0.8298319327731092,0.9041128084606345,1692,189
cords,DX.name,1,0.8191489361702128,0.8065375302663438,0.9108582266477003,1693,188
cords,DX.name,2,0.824468085106383,0.8173951434878588,0.8943812233285917,1693,188
cords,DX.name,3,0.824468085106383,0.8157027002940914,0.9135846372688479,1693,188
cords,DX.name,4,0.8351063829787234,0.825084786458177,0.8914177335229967,1693,188
cords,DX.name,5,0.8191489361702128,0.8076321174912724,0.8978188715030821,1693,188
cords,DX.name,6,0.8297872340425532,0.8179176755447942,0.9197486960644855,1693,188
cords,DX.name,7,0.851063829787234,0.840677966101695,0.9083688952110005,1693,188
cords,DX.name,8,0.8404255319148937,0.8302636330805344,0.9253200568990043,1693,188
cords,DX.name,9,0.8297872340425532,0.8156862745098039,0.8923168552709946,1693,188
cords,Relapse,0,0.6178010471204188,0.6094069529652352,0.6690901079532937,1716,191
cords,Relapse,1,0.5863874345549738,0.5834644582470669,0.601123595505618,1716,191
cords,Relapse,2,0.6387434554973822,0.6269214437367303,0.635822868473232,1716,191
cords,Relapse,3,0.5916230366492147,0.5856141522029372,0.6480502313284864,1716,191
cords,Relapse,4,0.6544502617801047,0.6523058252427185,0.7142542410222515,1716,191
cords,Relapse,5,0.612565445026178,0.6101610767872905,0.6390174047146948,1716,191
cords,Relapse,6,0.6858638743455497,0.681241655540721,0.7102886098259529,1716,191
cords,Relapse,7,0.5631578947368421,0.555461592670895,0.5850044563279857,1717,190
cords,Relapse,8,0.6789473684210526,0.6769337979094077,0.6812611408199644,1717,190
cords,Relapse,9,0.5578947368421052,0.557698703026272,0.5781510735343197,1717,190
cords,Grade,0,0.5969387755102041,0.4552969502407705,0.6957687865523742,1755,196
cords,Grade,1,0.6512820512820513,0.492713766397977,0.8029392948271075,1756,195
cords,Grade,2,0.6615384615384615,0.5015803411258862,0.7904816857268178,1756,195
cords,Grade,3,0.6256410256410256,0.4768035160192023,0.7672462724217475,1756,195
cords,Grade,4,0.6512820512820513,0.4478536767450541,0.7904514176695393,1756,195
cords,Grade,5,0.6871794871794872,0.5449901311970278,0.8123634884890457,1756,195
cords,Grade,6,0.5743589743589743,0.46839142118546223,0.7444038453826702,1756,195
cords,Grade,7,0.6717948717948717,0.5291636468107056,0.8381527829940497,1756,195
cords,Grade,8,0.6717948717948717,0.5880719326200774,0.8319937081376366,1756,195
cords,Grade,9,0.6,0.5138483987357876,0.7720157934707998,1756,195
