dataset,feature,fold,cv_accuracy,cv_macro_f1,cv_auc,n_train,n_val
danenberg,ERStatus,0,0.8571428571428571,0.7778651980068187,0.8990196078431373,686,77
danenberg,ERStatus,1,0.8571428571428571,0.7529892096821231,0.8970588235294118,686,77
danenberg,ERStatus,2,0.7662337662337663,0.5557692307692308,0.7725490196078431,686,77
danenberg,ERStatus,3,0.8947368421052632,0.8248847926267281,0.9312499999999999,687,76
danenberg,ERStatus,4,0.9210526315789473,0.868663594470046,0.9166666666666666,687,76
danenberg,ERStatus,5,0.8552631578947368,0.7771260997067448,0.8781249999999999,687,76
danenberg,ERStatus,6,0.8947368421052632,0.833879781420765,0.9604166666666667,687,76
danenberg,ERStatus,7,0.8947368421052632,0.8144078144078144,0.9645833333333333,687,76
danenberg,ERStatus,8,0.8552631578947368,0.7656293804317353,0.8885416666666667,687,76
danenberg,ERStatus,9,0.8289473684210527,0.7230165405102327,0.9332003988035892,687,76
danenberg,Grade,0,0.6493506493506493,0.44176245210727966,0.7914156138645935,688,77
danenberg,Grade,1,0.6623376623376623,0.45253526496378194,0.7656786524133463,688,77
danenberg,Grade,2,0.7012987012987013,0.5505320730039832,0.875348234531908,688,77
danenberg,Grade,3,0.6883116883116883,0.5417337627482555,0.7409297052154195,688,77
danenberg,Grade,4,0.6883116883116883,0.47439318846104966,0.7647392290249434,688,77
danenberg,Grade,5,0.6842105263157895,0.4698412698412698,0.7584730428049622,689,76
danenberg,Grade,6,0.631578947368421,0.4383071218514257,0.7416593550640475,689,76
danenberg,Grade,7,0.618421052631579,0.5019106407995296,0.7952752759719024,689,76
danenberg,Grade,8,0.6973684210526315,0.48035410282601293,0.7727952694765508,689,76
danenberg,Grade,9,0.618421052631579,0.4211010379713572,0.7935655743778994,689,76
danenberg,PAM50,0,0.5294117647058824,0.4671994671994672,0.742415986626275,611,68
danenberg,PAM50,1,0.5,0.3580553656869446,0.7399501867393331,611,68
danenberg,PAM50,2,0.5294117647058824,0.41949570866871844,0.7265442573254897,611,68
danenberg,PAM50,3,0.5441176470588235,0.44800653594771245,0.805758467706231,611,68
danenberg,PAM50,4,0.5588235294117647,0.5009131803868646,0.7658107376014434,611,68
danenberg,PAM50,5,0.45588235294117646,0.3569693148381673,0.7226948626687444,611,68
danenberg,PAM50,6,0.5882352941176471,0.4682033137141496,0.7291481046661652,611,68
danenberg,PAM50,7,0.45588235294117646,0.3488598901098901,0.785198211431679,611,68
danenberg,PAM50,8,0.5294117647058824,0.46406926406926396,0.7838545930984013,611,68
danenberg,PAM50,9,0.40298507462686567,0.3286370157819225,0.7504174288412948,612,67
danenberg,ERBB2_pos,0,0.8382352941176471,0.5322076297686054,0.8290398126463701,611,68
danenberg,ERBB2_pos,1,0.8382352941176471,0.5878787878787879,0.80625,611,68
danenberg,ERBB2_pos,2,0.9117647058823529,0.6761904761904762,0.8520833333333333,611,68
danenberg,ERBB2_pos,3,0.8970588235294118,0.6538181818181819,0.925,611,68
danenberg,ERBB2_pos,4,0.9117647058823529,0.7258064516129032,0.9479166666666667,611,68
danenberg,ERBB2_pos,5,0.9117647058823529,0.6761904761904762,0.8875000000000001,611,68
danenberg,ERBB2_pos,6,0.9117647058823529,0.6761904761904762,0.8041666666666666,611,68
danenberg,ERBB2_pos,7,0.8970588235294118,0.5835520559930009,0.8770833333333333,611,68
danenberg,ERBB2_pos,8,0.8970588235294118,0.5835520559930009,0.8875,611,68
