dataset,feature,fold,cv_accuracy,cv_macro_f1,cv_auc,n_train,n_val
danenberg,ERStatus,0,0.8051948051948052,0.5864661654135338,0.8852941176470588,686,77
danenberg,ERStatus,1,0.8181818181818182,0.6544871794871795,0.8735294117647059,686,77
danenberg,ERStatus,2,0.7792207792207793,0.594108527131783,0.788235294117647,686,77
danenberg,ERStatus,3,0.8157894736842105,0.6536458333333334,0.9239583333333333,687,76
danenberg,ERStatus,4,0.8157894736842105,0.5969696969696969,0.9052083333333333,687,76
danenberg,ERStatus,5,0.8157894736842105,0.7092896174863388,0.8677083333333334,687,76
danenberg,ERStatus,6,0.9078947368421053,0.8324409448818897,0.9572916666666667,687,76
danenberg,ERStatus,7,0.868421052631579,0.7342657342657343,0.98125,687,76
danenberg,ERStatus,8,0.8552631578947368,0.7182339063026626,0.8875,687,76
danenberg,ERStatus,9,0.881578947368421,0.808242220353238,0.8933200398803589,687,76
danenberg,Grade,0,0.6753246753246753,0.46053639846743294,0.7966310333657273,688,77
danenberg,Grade,1,0.6623376623376623,0.450682261208577,0.7536443148688047,688,77
danenberg,Grade,2,0.6623376623376623,0.44399839421918913,0.772384191771947,688,77
danenberg,Grade,3,0.6493506493506493,0.44327485380116954,0.6999028182701652,688,77
danenberg,Grade,4,0.6493506493506493,0.45060809133780094,0.8069322967282151,688,77
danenberg,Grade,5,0.6842105263157895,0.46955503512880564,0.7910026784662256,689,76
danenberg,Grade,6,0.6710526315789473,0.46538461538461534,0.7401995068087327,689,76
danenberg,Grade,7,0.631578947368421,0.4252873563218391,0.7817362049489683,689,76
danenberg,Grade,8,0.7105263157894737,0.48013468013468014,0.7808390667055871,689,76
danenberg,Grade,9,0.631578947368421,0.4213483146067416,0.7668793765493315,689,76
danenberg,PAM50,0,0.5588235294117647,0.49504334499874203,0.7405789423189084,611,68
danenberg,PAM50,1,0.5441176470588235,0.37409420289855067,0.7284298227995232,611,68
danenberg,PAM50,2,0.5441176470588235,0.3987739463601533,0.7754373924549164,611,68
danenberg,PAM50,3,0.5588235294117647,0.4329824561403509,0.7853072355772411,611,68
danenberg,PAM50,4,0.5588235294117647,0.46470085470085465,0.7711035868904027,611,68
danenberg,PAM50,5,0.4852941176470588,0.37777777777777777,0.6867478591767283,611,68
danenberg,PAM50,6,0.5441176470588235,0.4001685325628988,0.6949195518291099,611,68
danenberg,PAM50,7,0.5,0.40967320261437906,0.792073727914517,611,68
danenberg,PAM50,8,0.5441176470588235,0.42926923822446206,0.780404017465423,611,68
danenberg,PAM50,9,0.4925373134328358,0.4078095238095238,0.7035032794109796,612,67
danenberg,ERBB2_pos,0,0.8823529411764706,0.46875,0.8665105386416863,611,68
danenberg,ERBB2_pos,1,0.9558823529411765,0.8724202626641651,0.9645833333333333,611,68
danenberg,ERBB2_pos,2,0.9117647058823529,0.6761904761904762,0.9041666666666666,611,68
danenberg,ERBB2_pos,3,0.8676470588235294,0.4645669291338583,0.8979166666666666,611,68
danenberg,ERBB2_pos,4,0.9705882352941176,0.9291666666666667,0.9645833333333332,611,68
danenberg,ERBB2_pos,5,0.9264705882352942,0.7527272727272727,0.9458333333333333,611,68
danenberg,ERBB2_pos,6,0.9264705882352942,0.7527272727272727,0.8020833333333334,611,68
danenberg,ERBB2_pos,7,0.8970588235294118,0.5835520559930009,0.9520833333333334,611,68
danenberg,ERBB2_pos,8,0.9705882352941176,0.9291666666666667,0.9104166666666665,611,68
danenberg,ERBB2_pos,9,0.9701492537313433,0.9084699453551912,1.0,612,67
cords,Relapse,0,0.5863874345549738,0.5785784108364753,0.6313064551663361,1716,191
cords,Relapse,1,0.5654450261780105,0.5606274770654915,0.605970478078872,1716,191
cords,Relapse,2,0.5287958115183246,0.49842436974789917,0.574796210619079,1716,191
cords,Relapse,3,0.5968586387434555,0.589247311827957,0.6425974884335756,1716,191
cords,Relapse,4,0.6544502617801047,0.649365821094793,0.6878166997135933,1716,191
cords,Relapse,5,0.5863874345549738,0.5728520877565464,0.5841595064992288,1716,191
cords,Relapse,6,0.5759162303664922,0.5679095098449937,0.6122493941396784,1716,191
cords,Relapse,7,0.5842105263157895,0.5742930882895148,0.6238859180035651,1717,190
cords,Relapse,8,0.5263157894736842,0.5043478260869565,0.5574866310160427,1717,190
cords,Relapse,9,0.5263157894736842,0.5172764227642277,0.549226832795639,1717,190
cords,DX.name,0,0.7724867724867724,0.7553655820113784,0.8882491186839013,1692,189
cords,DX.name,1,0.8457446808510638,0.8334911278746602,0.9057610241820768,1693,188
cords,DX.name,2,0.8138297872340425,0.801418439716312,0.8883357041251778,1693,188
cords,DX.name,3,0.8351063829787234,0.826872233609601,0.9073020388809863,1693,188
cords,DX.name,4,0.8085106382978723,0.7951573849878935,0.8668800379326694,1693,188
cords,DX.name,5,0.7978723404255319,0.7892625368731563,0.8822901849217639,1693,188
cords,DX.name,6,0.8031914893617021,0.7923272130168681,0.8988857278330963,1693,188
cords,DX.name,7,0.8404255319148937,0.8320428826682549,0.9054054054054054,1693,188
cords,DX.name,8,0.8191489361702128,0.8076321174912724,0.8827643432906591,1693,188
cords,DX.name,9,0.7925531914893617,0.7746426924850162,0.8751637879690292,1693,188
cords,Grade,0,0.6071428571428571,0.4641363044545474,0.7152371387524451,1755,196
cords,Grade,1,0.6102564102564103,0.5051051051051051,0.7839146894302097,1756,195
cords,Grade,2,0.6615384615384615,0.5069926589523454,0.7798036598542185,1756,195
